"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"
"1:03:00::"	"of"	"be"	"security"	"essential"	"security_of"	"of_be"	"be_essential"	"and_security_of"	"security_of_be"	"of_be_essential"	"be_essential_."	"CC"	"NN"	"IN"	"NN"	"VB"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"substantial"	"increase"	"is"	"estimate"	"in"	"the"	"cost"	"of"	"operate"	"additional"	"communication_system"	"in"	"air"	"defense_program"	"as_well"	"as"	"in"	"all"	"program"	"where"	"speed"	"and"	"security"	"of"	"communication"	"be"	"essential"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"line"	"in"	"long"	"alaska"	"long_line"	"line_in"	"in_alaska"	"basic_long_line"	"long_line_in"	"line_in_alaska"	"in_alaska_are"	"JJ"	"JJ"	"NN"	"NN"	"IN"	"NN"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"basic"	"line"	"communication"	"in"	"alaska"	"are"	"now"	"provide"	"through"	"federal"	"facility"	"operate"	"by"	"the"	"army"	"air_force"	"and"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"friendly"	"on"	"and"	"other_than"	"and_friendly"	"friendly_on"	"on_other_than"	"good_will_and_friendly"	"and_friendly_on"	"friendly_on_other_than"	"on_other_than_polemical"	"NN"	"CC"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first_step"	"toward"	"the"	"goal"	"be"	"the"	"establishment"	"a"	"new"	"atmosphere"	"of"	"mutual"	"good_will"	"and"	"friendly"	"communication"	"on"	"other_than"	"polemical"	"level"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"a"	"from"	","	"a"	",_a"	"a_from"	"from_a"	"department_,_a"	",_a_from"	"a_from_a"	"from_a_foreign"	"NN"	"ε"	"DT"	"NN"	"IN"	"DT"	"JJ"	"policy"	"officer"	"may"	"be"	"move"	"to"	"think"	"hard"	"about"	"a"	"problem"	"by"	"any"	"of"	"an"	"infinite"	"variety"	"of"	"stimulus"	"an"	"idea"	"in"	"his"	"own"	"head"	"the"	"suggestion"	"of"	"a"	"colleague"	"a"	"question"	"from"	"the"	"secretary"	"or"	"the"	"president"	"a"	"proposal"	"by"	"department"	"a"	"communication"	"a"	"foreign"	"government"	"or"	"an"	"american"	"ambassador"	"abroad"	"the"	"filing"	"of"	"an"	"item"	"for"	"the"	"agenda"	"of"	"the"	"united_nations"	"or"	"of"	"any"	"of"	"dozens"	"of"	"international"	"body"	"a"	"news_item"	"read"	"at"	"the"	"breakfast_table"	"a"	"question"	"to"	"the"	"president"	"or"	"the"	"secretary"	"at"	"a"	"news_conference"	"a"	"speech"	"by"	"a"	"senator"	"or"	"congressman"	"an"	"article"	"in"	"a"	"periodical"	"a"	"resolution"	"from"	"a"	"national"	"organization"	"a"	"request"	"for"	"assistance"	"from"	"some"	"private"	"american"	"interest"	"abroad"	"etcetera"	"ad_infinitum"	
"1:03:00::"	"verbal"	"be"	"puzzling"	"so"	"puzzling_verbal"	"verbal_be"	"be_so"	"more_puzzling_verbal"	"puzzling_verbal_be"	"verbal_be_so"	"be_so_for"	"RB"	"JJ"	"JJ"	"NN"	"VB"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"my"	"experience"	"a"	"great"	"many_of"	"patient"	"more"	"puzzling"	"verbal"	"communication"	"be"	"so"	"for"	"the"	"reason"	"that"	"concrete"	"meaning"	"have"	"not"	"become"	"differentiate"	"from"	"figurative"	"meaning"	"in"	"his"	"subjective"	"experience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"military"	"be"	"for"	"one"	"for_military"	"military_be"	"be_one"	"network_for_military"	"for_military_be"	"military_be_one"	"be_one_of"	"NN"	"IN"	"JJ"	"NN"	"VB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"for"	"military"	"communication"	"be"	"one"	"of"	"the"	"best"	"example"	"of"	"network"	"which"	"not_only"	"must"	"be"	"change"	"with"	"the"	"change"	"in"	"objective"	"but"	"also"	"must"	"be"	"change"	"with"	"the"	"addition"	"of"	"new"	"machine"	"of"	"war"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"of"	"."	"line"	"∅"	"line_of"	"of_."	"._∅"	"the_line_of"	"line_of_."	"of_._∅"	"._∅_∅"	"DT"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"troops"	"disperse"	"on"	"field_of_battle"	"rather"	"than"	"on"	"the"	"parade_ground"	"it"	"may"	"seem"	"a"	"certain"	"amount"	"of"	"monitor"	"is"	"automatically"	"enforce"	"by"	"the"	"line"	"of"	"communication"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"of"	"have"	"complexity"	"been"	"complexity_of"	"of_have"	"have_been"	"the_complexity_of"	"complexity_of_have"	"of_have_been"	"have_been_considerably"	"DT"	"NN"	"IN"	"NN"	"VBP"	"VBN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"communication"	"have"	"been"	"considerably"	"abet"	"in"	"this"	"case"	"by"	"appropriately"	"stilted"	"english_language"	"that"	"has"	"been"	"excellently"	"dub"	"in_place_of"	"the"	"russian"	"dialogue"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"verbal"	"."	"of"	"∅"	"of_verbal"	"verbal_."	"._∅"	"lack_of_verbal"	"of_verbal_."	"verbal_._∅"	"._∅_∅"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"obstacle"	"to"	"the"	"easy"	"control"	"of"	"year"	"old"	"child"	"be"	"a"	"lack"	"of"	"verbal"	"communication"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"make"	"impossible"	","	"."	",_make"	"make_impossible"	"impossible_."	"pole_,_make"	",_make_impossible"	"make_impossible_."	"impossible_._∅"	"NN"	"ε"	"VB"	"NN"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"early"	"equipment"	"be"	"very"	"flimsy"	"the"	"smallest"	"of"	"wind"	"topple"	"pole"	"make"	"communication"	"impossible"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
