"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"
"1:08:00::"	"coal-black"	"and"	"his"	"eye"	"his_coal-black"	"coal-black_and"	"and_eye"	"with_his_coal-black"	"his_coal-black_and"	"coal-black_and_eye"	"and_eye_,"	"IN"	"PRP$"	"JJ"	"NN"	"CC"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"be"	"handsome"	"his"	"coal-black"	"hair"	"and"	"eye"	"his"	"fine"	"chiseled"	"feature"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"blonde"	"and"	"of"	"-"	"of_blonde"	"blonde_and"	"and_-"	"silk_of_blonde"	"of_blonde_and"	"blonde_and_-"	"and_-_ah"	"NN"	"IN"	"JJ"	"NN"	"CC"	"ε"	"UH"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"suddenly"	"a"	"treble"	"auto"	"horn"	"tootley-toot-tootled"	"and"	"thumb"	"hopefully"	"i"	"see"	"emergent"	"in"	"windshield"	"red"	"lip"	"streaming"	"silk"	"of"	"blonde"	"hair"	"and"	"ah"	"trembling"	"confusion"	"of"	"hope"	"apprehension"	"despair"	"the"	"leering"	"face"	"of"	"old"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"tinted"	"must"	"beautifully"	"still"	"beautifully_tinted"	"tinted_must"	"must_still"	"most_beautifully_tinted"	"beautifully_tinted_must"	"tinted_must_still"	"must_still_be"	"RB"	"RB"	"JJ"	"NN"	"MD"	"RB"	"VB"	"rapidly"	"diminishing"	"outline"	"of"	"a"	"jump_seat"	"pile"	"high"	"with"	"luggage"	"person"	"black"	"brush_cut"	"be"	"just"	"discernible"	"near"	"or"	"enviably"	"near"	"that"	"spot"	"where"	"hidden"	"more"	"delicately"	"textured"	"most"	"beautifully"	"tinted"	"hair"	"still"	"be"	"stream"	"back"	"in"	"cool"	"oh"	"cool"	"wind"	"sweetly"	"perfumed"	"with"	"sagebrush"	"and"	"yucca"	"flower"	"and"	"engine"	"fumes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"glistening"	","	"his"	"beyond"	"his_glistening"	"glistening_,"	",_beyond"	"beyond_his_glistening"	"his_glistening_,"	"glistening_,_beyond"	",_beyond_his"	"IN"	"PRP$"	"JJ"	"NN"	"ε"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at_once"	"my"	"ear"	"were"	"drown"	"by"	"a"	"flow"	"of"	"what"	"i"	"take_to_be"	"spanish"	"but"	"the"	"driver"	"white"	"tooth"	"flash"	"at"	"me"	"the"	"road"	"veer"	"beyond"	"his"	"glistening"	"hair"	"beyond"	"his"	"gesticulating"	"bottle"	"it"	"could"	"have"	"be"	"the"	"pure"	"oxford_english"	"i"	"was"	"half"	"hear"	"i"	"would"	"n't"	"have"	"know"	"the"	"difference"	"0"	"0"	
"1:08:00::"	"brown"	"be"	"sparse"	"heavily"	"sparse_brown"	"brown_be"	"be_heavily"	"'s_sparse_brown"	"sparse_brown_be"	"brown_be_heavily"	"be_heavily_pomaded"	"POS"	"JJ"	"JJ"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"lieutenant"	"brown"	"hair"	"be"	"heavily"	"pomaded"	"and"	"as"	"person"	"rake"	"the"	"comb"	"through"	"it"	"it"	"stick"	"together"	"in"	"thatch"	"so"	"that"	"it"	"look_like"	"umbrella"	"rib"	"cling"	"to"	"his"	"pink"	"skull"	
"1:08:00::"	"wavy"	"be"	"of"	"an"	"of_wavy"	"wavy_be"	"be_an"	"instead_of_wavy"	"of_wavy_be"	"wavy_be_an"	"be_an_integer"	"RB"	"IN"	"JJ"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"litter"	"of"	"eight"	"mouse"	"from"	"similar"	"parent"	"number"	"of"	"mouse"	"with"	"straight"	"instead"	"of"	"wavy"	"hair"	"be"	"an"	"integer"	"from"	"to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"his"	"."	"retie"	"∅"	"retie_his"	"his_."	"._∅"	"and_retie_his"	"retie_his_."	"his_._∅"	"._∅_∅"	"CC"	"VB"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"finish"	"shave"	"wash"	"his"	"face"	"clean"	"lather"	"and"	"comb"	"and"	"retie"	"his"	"hair"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"shaved"	","	"'s"	"edge_up"	"'s_shaved"	"shaved_,"	",_edge_up"	"person_'s_shaved"	"'s_shaved_,"	"shaved_,_edge_up"	",_edge_up_close"	"NNP"	"POS"	"JJ"	"NN"	"ε"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_the_meantime"	"six"	"sandal"	"stained"	"an"	"ocher"	"the"	"color"	"as"	"person"	"shaved"	"hair"	"edge_up"	"close"	"to"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"gray"	"and"	"have"	"pleasant"	"have_gray"	"gray_and"	"and_pleasant"	"and_have_gray"	"have_gray_and"	"gray_and_pleasant"	"and_pleasant_smile"	"CC"	"VB"	"JJ"	"NN"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"teacher"	"man"	"who"	"wear"	"suit"	"and"	"have"	"gray"	"hair"	"and"	"pleasant"	"smile"	"come"	"to"	"their"	"table"	"to"	"talk_shop"	"and"	"to"	"be"	"introduce"	"to"	"person"	"and"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"gray"	"."	"and"	"∅"	"and_gray"	"gray_."	"._∅"	"wrinkle_and_gray"	"and_gray_."	"gray_._∅"	"._∅_∅"	"NN"	"CC"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"boy"	"shudder"	"at"	"the"	"deathly"	"countenance"	"with"	"its"	"wrinkle"	"and"	"gray"	"hair"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
