"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"
"3:00:00::"	"social"	"economical"	"limited"	"context"	"limited_social"	"social_economical"	"economical_context"	"the_limited_social"	"limited_social_economical"	"social_economical_context"	"economical_context_we"	"DT"	"JJ"	"JJ"	"JJ"	"JJ"	"NN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"are"	"already"	"commit"	"to"	"establish"	"man"	"supremacy"	"over"	"nature"	"and"	"everywhere"	"on"	"earth"	"merely"	"in"	"the"	"limited"	"social"	"political"	"economical"	"context"	"we"	"be"	"fond"	"of"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	","	","	"social"	"economic"	"social_,"	",_,"	",_economic"	"our_social_,"	"social_,_,"	",_,_economic"	",_economic_and"	"PRP$"	"JJ"	"ε"	"JJ"	"ε"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"we"	"were"	"create"	"a"	"wholly"	"new"	"we"	"could"	"insist"	"that"	"our"	"social"	"political"	"economic"	"and"	"philosophic"	"institution"	"foster"	"rather"	"than"	"hamper"	"man"	"best"	"growth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"'s"	"position"	"america"	"the"	"america_'s"	"'s_position"	"position_the"	"that_america_'s"	"america_'s_position"	"'s_position_the"	"position_the_world"	"IN"	"NN"	"POS"	"JJ"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"charge"	"that"	"america"	"political"	"position"	"the"	"world"	"has"	"progressively"	"deteriorate"	"in"	"recent"	"years"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:01::"	"communist"	"warfare"	"∅"	","	"∅_communist"	"communist_warfare"	"warfare_,"	"∅_∅_communist"	"∅_communist_warfare"	"communist_warfare_,"	"warfare_,_we"	"ε"	"ε"	"JJ"	"JJ"	"NN"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"political"	"warfare"	"we"	"must"	"remember"	"is"	"wage"	"insidiously"	"and"	"in"	"deliberate"	"stage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"and"	"from"	"social"	"from_the"	"the_and"	"and_social"	"issue_from_the"	"from_the_and"	"the_and_social"	"and_social_life"	"NN"	"IN"	"DT"	"JJ"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"time"	"has"	"come"	"for"	"citizen"	"of"	"all"	"faith"	"unite"	"in"	"an"	"effort"	"to"	"remove"	"divisive"	"and"	"nettlesome"	"issue"	"from"	"the"	"political"	"and"	"social"	"life"	"of"	"our"	"nation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"-"	","	"factor"	"military"	"factor_-"	"-_,"	",_military"	"complicated_factor_-"	"factor_-_,"	"-_,_military"	",_military_,"	"JJ"	"NN"	"ε"	"JJ"	"ε"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"problem"	"in"	"the"	"policy"	"officer"	"mind"	"thus"	"begin"	"to"	"as"	"a"	"galaxy"	"of"	"utterly"	"complicated"	"factor"	"political"	"military"	"economic"	"financial"	"legal"	"legislative"	"procedural"	"administrative"	"to"	"be"	"sort_out"	"and"	"handle"	"within"	"a"	"political_system"	"which"	"move"	"by"	"consent"	"in_relation_to"	"an"	"external"	"environment"	"which"	"cannot"	"be"	"under_control"	
"3:00:00::"	"and"	"discussion"	"university"	"."	"university_and"	"and_discussion"	"discussion_."	"in_university_and"	"university_and_discussion"	"and_discussion_."	"discussion_._∅"	"IN"	"NN"	"CC"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"return"	"in"	"and"	"resume"	"active"	"part"	"in"	"university"	"and"	"political"	"discussion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	","	","	"social"	"and"	"social_,"	",_,"	",_and"	"early_social_,"	"social_,_,"	",_,_and"	",_and_religious"	"JJ"	"JJ"	"ε"	"JJ"	"ε"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"the"	"same"	"conclusion"	"can"	"be"	"draw"	"from"	"the"	"physical"	"evidence"	"of"	"the"	"dark_ages"	"from"	"linguistic"	"distribution"	"and"	"from"	"the"	"survival"	"early"	"social"	"political"	"and"	"religious"	"pattern"	"into"	"late"	"age"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"eliminate"	"influence"	"will"	"''"	"will_eliminate"	"eliminate_influence"	"influence_''"	"that_will_eliminate"	"will_eliminate_influence"	"eliminate_influence_''"	"influence_''_."	"WDT"	"MD"	"VB"	"JJ"	"NN"	"ε"	"ε"	"new"	"million"	"dollar"	"airport"	"the"	"jury"	"recommend"	"that"	"when"	"the"	"new"	"management"	"take_charge"	"jan"	"the"	"airport"	"be"	"operate"	"in"	"a"	"manner"	"that"	"will"	"eliminate"	"influence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"rather_than"	"who"	"natural"	"who_be"	"be_rather_than"	"rather_than_natural"	"ally_who_be"	"who_be_rather_than"	"be_rather_than_natural"	"rather_than_natural_might"	"NN"	"WP"	"VB"	"JJ"	"RB"	"JJ"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"and"	"person"	"talk"	"to"	"each"	"now"	"as"	"ally"	"who"	"be"	"political"	"rather_than"	"natural"	"might"	"in"	"a"	"war"	"atmosphere"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"∅"	"theoretical"	"∅"	"understanding"	"∅_∅"	"∅_theoretical"	"theoretical_understanding"	"∅_∅_∅"	"∅_∅_theoretical"	"∅_theoretical_understanding"	"theoretical_understanding_,"	"ε"	"ε"	"ε"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"theoretical"	"understanding"	"although"	"almost"	"at"	"a"	"standstill"	"during"	"this"	"century"	"did"	"develop"	"during"	"the"	"eighteenth"	"and"	"nineteenth"	"century"	"and"	"result"	"in"	"a"	"flood"	"of"	"invention"	"which"	"increase"	"the"	"possibility"	"man"	"to"	"coexist"	"with"	"man"	"0"	
"3:00:00::"	"modern"	"and"	"a"	"social_system"	"a_modern"	"modern_and"	"and_social_system"	"of_a_modern"	"a_modern_and"	"modern_and_social_system"	"and_social_system_without"	"IN"	"DT"	"JJ"	"JJ"	"CC"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"most"	"country"	"in"	"this"	"second"	"category"	"share"	"the"	"of"	"have"	"many"	"of"	"the"	"structure"	"of"	"a"	"modern"	"political"	"and"	"social_system"	"without"	"the"	"modern"	"standard"	"of"	"performance"	"require"	"to"	"make"	"them"	"effective"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"many"	"and"	"remain"	"administrative"	"remain_many"	"many_and"	"and_administrative"	"there_remain_many"	"remain_many_and"	"many_and_administrative"	"and_administrative_problem"	"EX"	"VB"	"JJ"	"JJ"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"many"	"political"	"and"	"administrative"	"problem"	"to"	"be"	"solve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
