"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"
"1:06:00::"	"gun"	"."	"and"	"∅"	"and_gun"	"gun_."	"._∅"	"camera_and_gun"	"and_gun_."	"gun_._∅"	"._∅_∅"	"NN"	"CC"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"slap"	"his"	"hand"	"across"	"the"	"switch"	"turn_on"	"the"	"gun"	"and"	"gun"	"camera"	"and"	"gun"	"sight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"circular"	"and_then"	"his"	"add"	"his_circular"	"circular_and_then"	"and_then_add"	"in_his_circular"	"his_circular_and_then"	"circular_and_then_add"	"and_then_add_another"	"IN"	"PRP$"	"JJ"	"NN"	"RB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"take"	"a"	"lead"	"on"	"the"	"enemy"	"use"	"a"	"distance"	"of"	"five"	"the"	"radius"	"in"	"his"	"circular"	"sight"	"and_then"	"add"	"another"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"on"	","	"person"	"conservative"	"person_on"	"on_,"	",_conservative"	"dislike_person_on"	"person_on_,"	"on_,_conservative"	",_conservative_clothes"	"VB"	"NNP"	"IN"	"NN"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"person"	"on"	"sight"	"conservative"	"clothes"	"and"	"haircut"	"smile"	"a"	"shade"	"too"	"earnestly"	"boyish"	"for"	"a"	"man"	"who"	"must"	"be"	"well"	"into"	"his"	"thirties"	"handclasp"	"too"	"consciously"	"quick"	"and"	"firm"	
"2:39:00::"	"fishing_boat"	"the"	"irish"	"discovery"	"irish_fishing_boat"	"fishing_boat_the"	"the_discovery"	"an_irish_fishing_boat"	"irish_fishing_boat_the"	"fishing_boat_the_discovery"	"the_discovery_limp"	"DT"	"JJ"	"NN"	"VB"	"DT"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"seventeen"	"month"	"later"	"on"	"september"	"an"	"fishing_boat"	"sight"	"the"	"discovery"	"limp"	"eastward"	"outside"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"darn"	"more"	"a"	"comfortable"	"a_darn"	"darn_more"	"more_comfortable"	"be_a_darn"	"a_darn_more"	"darn_more_comfortable"	"more_comfortable_there"	"VB"	"DT"	"JJ"	"NN"	"RB"	"JJ"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"be"	"darn"	"sight"	"more"	"comfortable"	"there"	"person"	"person"	"say"	"laugh"	"and"	"they"	"all"	"laugh"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"from"	"."	"lose"	"∅"	"lose_from"	"from_."	"._∅"	"be_lose_from"	"lose_from_."	"from_._∅"	"._∅_∅"	"VB"	"VB"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"fish_hawk"	"fly_on"	"be"	"lose"	"from"	"sight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"on"	"see"	"and"	"see_the"	"the_on"	"on_and"	"has_see_the"	"see_the_on"	"the_on_and"	"on_and_off"	"VBZ"	"VB"	"DT"	"NN"	"RB"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"inherit"	"a"	"more"	"mature"	"person"	"now"	"has"	"see"	"the"	"sight"	"on"	"and"	"off"	"location"	"person"	"quietly"	"bestow"	"no"	"pun"	"intend"	"the"	"mantle"	"of"	"authority"	"on"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"the"	"of"	"at"	"a"	"at_the"	"the_of"	"of_a"	"long_at_the"	"at_the_of"	"the_of_a"	"of_a_goat"	"JJ"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"was"	"interrupt"	"in"	"his"	"daydream"	"by"	"a"	"warm"	"wetness"	"lap"	"against"	"his"	"chin"	"and"	"his"	"eye"	"open"	"wide"	"and"	"long"	"at"	"of"	"a"	"goat"	"claret"	"tongue"	"feast"	"against"	"the"	"salt"	"taste"	"of"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"the"	"of"	"and"	"his"	"and_the"	"the_of"	"of_his"	",_and_the"	"and_the_of"	"the_of_his"	"of_his_wife"	"ε"	"CC"	"DT"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"be"	"tired"	"he"	"have"	"business"	"worry"	"and"	"the"	"sight"	"of"	"his"	"wife"	"arrange"	"porkchop"	"in"	"the"	"broiler"	"only"	"seem"	"like"	"an"	"extension"	"of"	"a"	"boring"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"familiar"	"these"	"a"	"day"	"a_familiar"	"familiar_these"	"these_day"	"be_a_familiar"	"a_familiar_these"	"familiar_these_day"	"these_day_."	"VB"	"DT"	"JJ"	"NN"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"a"	"siding"	"another"	"which"	"be"	"a"	"familiar"	"sight"	"these"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
